Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

  1  AACR 40612M001     644009.13028 -6251064.22780  1093781.05654    A
  6  AB21 49381M001   -3940203.84566  -229767.87477  4993529.79788    A
  7  AB43 49298M001   -2449678.96640 -2313242.99947  5397464.31105    A
  9  ABCC 41939M001    1739437.96758 -6117252.37375   515065.18584    A
 10  ABEC 42040M001    1257908.32963 -6254107.71443  -140325.12688    A
 11  ABMF 97103M001    2919785.83516 -5383744.89528  1774604.94347    A
 12  ABPD 41941M001    1742983.24533 -6118331.48357   494730.82992    A
 17  AC24 49239M001   -3051338.97527 -1317097.81918  5425614.07096    A
 19  AC58 49257M001   -3416996.35332  -589123.31003  5335363.31879    A
 24  ACSO 49297M001     595827.93991 -4839733.91382  4097876.60601    A
 29  AGGO 41596M001    2765120.88438 -4449248.44864 -3626403.64608    A
 35  ALAR 41653M001    5043729.69094 -3753105.66559 -1072966.74676    A
 36  ALBE 41943M001    1806735.02145 -6056493.15222   855562.65608    A
 39  ALEC 42029M001    1233231.85889 -6255435.59665  -243534.42124    A
 40  ALGO 40104M002     918129.03899 -4346071.35227  4561977.93248    W
 45  ALUM 41535M001    2253309.67177 -5206250.80776 -2911357.19892    A
 46  AM04 42255M001    1336684.42699 -6215846.81334  -507918.18551    A
 49  AMCO 41696M001    2652254.90153 -5775435.49089  -538086.86117    A
 51  AMHA 41646M002    2868133.07271 -5635932.97168  -828833.27225    A
 55  AMPT 48071M002    3493522.99490 -5328177.49589  -293387.70186    A
 57  AMTE 48091M001    2720483.55849 -5756956.99051  -369743.66762    A
 59  AMUA 48070M001    3182722.95767 -5516674.67553  -341716.80093    A
 60  AN02 42231M001    1252397.34730 -6172147.36684 -1005195.04367    A
 66  ANTC 41713S001    1608538.53296 -4816370.61912 -3847798.23292    A
 67  ANTF 41780M001    1958241.55810 -5505483.51836 -2548076.22946    A
 69  AP01 42226M001    1825836.77306 -5926941.63694 -1494699.86251    A
 70  APLJ 48076M001    3881011.60605 -5060684.06939   -90889.35933    A
 71  APMA 41629M002    4005474.10042 -4963530.92575     5201.15531    A
 72  APS1 41675M002    3999460.63052 -4968374.03194    -6580.34621    A
 74  APTO 41933S001    1460798.06894 -6147200.61203   868399.65064    A
 75  AQ01 42229M001    1941764.88387 -5805845.98492 -1792210.23919    A
 76  ARCA 41909S001    2086018.59216 -5976299.59165   781400.69992    A
 79  AREQ 42202M005    1942826.33837 -5804070.36373 -1796894.04986    W
 87  ASCG 30602M004    6121151.55010 -1563978.99664  -872615.24764    A
 88  ASPA 50503S006   -6100260.27031  -996502.25005 -1567977.02007    A
 90  ATW2 49934M002   -2610899.53888 -1560592.83088  5587416.73004    A
 93  AUTF 41515S001    1360919.11334 -3420458.06679 -5191175.11007    A
 94  AV09 49411M001   -3664985.93050  -877055.29346  5128680.52948    A
 95  AY02 42234M001    1721860.86846 -5919470.44194 -1642758.50748    A
 99  AZUL 41529M001    2566993.11107 -4424962.92931 -3796807.56684    A
100  BABJ 41612M002    4500746.16443 -4278080.76116 -1453672.55973    A
101  BABR 41684M001    4410351.45380 -4409565.76459 -1333726.41268    A
103  BAIC 41665M002    4658548.32427 -4174749.85581 -1244689.51100    A
105  BAIL 48098M001    4781750.31593 -3896064.38688 -1618362.35116    A
107  BAIT 48066M001    4750448.54322 -4027056.83994 -1373818.27565    A
108  BAKE 40152M001    -289834.40784 -2756501.20694  5725162.43420    A
112  BAPA 48040M001    4944719.48841 -3893271.87269 -1033798.64640    A
117  BAVC 41669M001    4667609.34058 -4029356.64016 -1628384.63424    A
119  BCAR 41539M001    2652930.06810 -4295643.61811 -3884618.31764    A
120  BCH1 41573M002    1542411.02345 -4556572.36535 -4175294.28674    A
123  BECE 41951M001    1808996.12779 -6021778.24502  1067805.04843    A
124  BEJA 41947M001    1758043.05199 -6081158.55248   778801.22987    A
125  BELE 41622M001    4228138.96388 -4772752.15793  -155761.04382    A
128  BERR 41910S001    1703223.75160 -6104502.29860   716437.18917    A
130  BHEC 42048M001    1158375.55218 -6268949.83472  -198777.94833    A
137  BLPZ 41805M001    2275960.40001 -5681183.81477 -1804178.89406    A
144  BOAV 41636M001    3117452.13814 -5555487.89383   314481.05420    W
145  BOGA 41901M002    1744517.10958 -6116050.90536   512581.21915    A
148  BOGT 41901M001    1744398.86140 -6116036.95320   512731.98248    A
151  BOSC 41948M001    1743705.77464 -6035764.39940  1096656.91257    A
152  BQLA 41934S001    1636421.67849 -6043722.23963  1211155.44078    A
154  BRAZ 41606M001    4115014.07352 -4550641.68455 -1741443.71292    W
155  BRBR 40627M001     786277.53313 -6239732.97985  1058842.39200    A
156  BREW 40473M001   -2112007.45413 -3705351.82804  4726826.99488    W
170  BUEN 41912S001    1430383.96344 -6200818.13977   428934.25880    A
175  CALI 41903S001    1483100.00455 -6193060.14719   373124.32622    A
179  CAPO 40628M001     685619.15771 -6237122.88817  1140607.24820    A
183  CASI 41914S001    1613574.56295 -6107148.72091   880567.42964    A
184  CATA 41534M001    2302597.68845 -5117329.11335 -3022751.12225    A
186  CBMB 41807M001    2451888.34978 -5574669.54222 -1897658.40588    A
193  CEEU 41602M003    4985392.70087 -3954993.36951  -428437.64182    A
194  CEFE 41637M001    4562488.48894 -3871935.91696 -2200001.26640    A
195  CEFT 41682M001    4983062.67420 -3959862.96686  -410039.26609    A
196  CESB 48090M001    4851781.76400 -4120070.72669  -406782.69291    A
198  CHAC 41553M001    2921442.77104 -4854358.66225 -2919683.18425    A
201  CHEC 42030M001    1346610.27423 -6235930.12608   -37523.64665    A
202  CHEP 41308M001    1190284.37765 -6183669.79102  1009795.70142    A
203  CHET 40526M001     179584.60280 -6048080.62434  2010447.34413    A
208  CHLS 40625M001     577247.59672 -6234437.64674  1212416.10744    A
211  CHPI 41609M003    4164613.90866 -4162457.02281 -2445028.57165    A
212  CHTI 50242M001   -4607856.38166  -272375.10933 -4386954.03536    W
214  CHUR 40128M002    -236439.26170 -3307617.00366  5430049.38325    A
218  CIQE 40603M002     609086.69669 -6246622.89837  1135491.83451    A
220  CJ01 42214M001    1261306.71344 -6204717.22211  -788591.89270    A
221  CKIS 50213M003   -5583182.86321 -2054142.40330 -2292166.02013    W
229  CMPN 41792M001    1846709.51079 -5269194.19982 -3077807.12247    A
232  CN19 80101M001    2124203.59463 -5851608.56810  1383532.66882    A
238  CNEC 42057M001    1096161.09026 -6282802.60467   -77175.95664    A
242  COEC 42023M001    1349943.47483 -6236876.46809    79222.46859    A
243  COL2 40524M001   -1427005.71746 -5852976.05831  2089088.84441    A
246  CORD 41511M001    2345503.86973 -4910842.96193 -3316365.17727    A
247  CORU 48087M002    3229969.94440 -5095437.91321 -2063429.60584    A
252  CPVG 39601M001    5626883.44936 -2380932.22506  1824484.07164    A
256  CRAT 41619M001    4888826.01301 -4017957.54595  -798308.69292    A
260  CRLP 40612M003     643206.70834 -6250876.38070  1095086.23185    A
261  CRO1 43201M001    2607771.37397 -5488076.50490  1932768.03216    W
263  CS01 42235M001    1921528.28026 -5900745.43191 -1482655.41018    A
264  CSLO 41540M001    1918784.58699 -5078509.52976 -3341569.17856    A
266  CUCU 41904S001    1901228.75549 -6025504.23850   870700.75483    A
267  CUEC 42009M001    1215704.30068 -6255712.20020  -318818.82294    A
268  CUIB 41603M001    3430711.39436 -5099641.69363 -1699432.64008    A
274  CXEC 42038M001    1259454.41200 -6254555.56516  -103452.49502    A
